Name,Price,Devise,Interessé
Django channels - create your own web chat application,69.99,USD ($),True
React & Django Full Stack: Advanced,44.99,USD ($),True
Django + React : Build a Location-Based Real Estate Website,69.99,USD ($),True
Développer une application e-commerce complète avec Django,54.99,USD ($),True
Django Pro : De Novice à Expert en Développement Web Python,19.99,USD ($),True
Python Django - Build Complex MultiVendor Ecommerce System,79.99,USD ($),True
Maitriser les paiements en ligne avec Stripe et Django,19.99,USD ($),True
Python Django: Payment Gateways for Beginners - 2025,64.99,USD ($),True
Full Stack - React Django DRF Channels Project - djChat,84.99,USD ($),True
Formation Git et GitHub: de Débutant à Confirmé,44.99,USD ($),False
Git & GitHub : la formation ULTIME,44.99,USD ($),False
Chatbot - The Development Guide 2025 (Beginner + Advanced),79.99,USD ($),False
"ChatGPT Clone with React, SocketIO and OpenAI API",79.99,USD ($),False
"OpenAI API (ChatGPT, Whisper, DALL-E) - Complete Course",39.99,USD ($),False
"OpenAI Mastery: Prompt Engineering, ChatGPT, Dall-e, API etc",54.99,USD ($),False
"ChatGPT, Midjourney, DALL-E 3 & APIs - The Complete Guide",124.99,USD ($),False
"OpenAI Python API Bootcamp: Learn to use AI, GPT, and more!",99.99,USD ($),False
"ChatGPT, Dall-e, OpenAI API : Step by Step Masterclass",49.99,USD ($),False
Complete OpenAI API Course (Connect to ChatGPT API & More),79.99,USD ($),False
MongoDB 7.0 : Guide Complet pour Grands Débutants,19.99,USD ($),False
MongoDB : Devenir Expert du NoSQL,19.99,USD ($),False
Devenir un expert du SQL - Le cours Complet,19.99,USD ($),False
Trading automatisé avec MetaTrader 5 et Python - TUTORIEL,49.99,USD ($),False
Trading algorithmique pour débutant: de zéro à héros,44.99,USD ($),False
"50 Hrs Big Data Mastery: PySpark, AWS, Scala & Data Scraping",79.99,USD ($),False
MQL5 : Créez vos propres robots & indicateurs (Metatrader 5),19.99,USD ($),False
Algorithmic Trading In MQL5: Code Robots & Free Up Your Time,79.99,USD ($),False
MQL5 Advanced: Creating Algorithmic Trading Robots with MQL5,69.99,USD ($),False
MQL5 PROJECTS: Code A Support & Resistance BreakOut Strategy,44.99,USD ($),False
